=== Bayesian Optimization for Nonlinear Factor Graph Tracking ===
Loaded 500 nonlinear trajectories
dt_vec size: 199, first 10: 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Max consecutive dt ratio: 1
=== Nonlinear BayesOpt Tracking Test ===
  Turn rate: 0.1 rad/s
  Consistency method: nis4
  Process noise bounds: [0.001, 2]
Run 110: Total chi2=1135.74 (Process=317.573, Measurement=818.166)
Run 152: Total chi2=1103.62 (Process=297.948, Measurement=805.675)
Run 405: Total chi2=1102.88 (Process=294.082, Measurement=808.796)
Run 272: Total chi2=1040.91 (Process=285.637, Measurement=755.273)
Run 69: Total chi2=1185.31 (Process=321.544, Measurement=863.767)
Run 483: Total chi2=1096.42 (Process=271.213, Measurement=825.205)
Run 363: Total chi2=1123.66 (Process=300.198, Measurement=823.466)
Run 235: Total chi2=1165.77 (Process=312.837, Measurement=852.938)
Run 445: Total chi2=1090.73 (Process=285.076, Measurement=805.656)
Run 406: Total chi2=1132.26 (Process=295.078, Measurement=837.179)
Run 111: Total chi2=1198.2 (Process=327.493, Measurement=870.712)
Run 25: Total chi2=1051.61 (Process=277.754, Measurement=773.859)
Run 315: Total chi2=1167.72 (Process=305.383, Measurement=862.332)
Run 407: Total chi2=1053.54 (Process=255.221, Measurement=798.319)
Run 153: Total chi2=1056.34 (Process=287.244, Measurement=769.098)
Run 273: Total chi2=1049.52 (Process=280.341, Measurement=769.182)
Run 70: Total chi2=1040.78 (Process=264.863, Measurement=775.913)
Run 194: Total chi2=1188 (Process=303.456, Measurement=884.543)
Run 236: Total chi2=1120.68 (Process=265.268, Measurement=855.417)
Run 446: Total chi2=1080.87 (Process=303.897, Measurement=776.972)
Run 484: Total chi2=1233.87 (Process=300.601, Measurement=933.273)
Run 112: Total chi2=991.751 (Process=239.833, Measurement=751.918)
Run 274: Total chi2=1159.87 (Process=320.511, Measurement=839.361)
Run 26: Total chi2=1121.66 (Process=283.896, Measurement=837.767)
Run 154: Total chi2=1331.1 (Process=343.076, Measurement=988.02)
Run 408: Total chi2=1188.41 (Process=295.706, Measurement=892.709)
Run 364: Total chi2=1180.61 (Process=286.136, Measurement=894.479)
Run 195: Total chi2=1171.19 (Process=297.974, Measurement=873.218)
Run 71: Total chi2=1062.39 (Process=286.79, Measurement=775.598)
Run 316: Total chi2=1058.88 (Process=283.928, Measurement=774.956)
Run 155: Total chi2=1103.78 (Process=268.901, Measurement=834.883)
Run 485: Total chi2=1199.99 (Process=303.886, Measurement=896.1)
Run 447: Total chi2=1118.02 (Process=303.755, Measurement=814.269)
Run 196: Total chi2=1264.68 (Process=319.068, Measurement=945.614)
Run 27: Total chi2=1129 (Process=308.282, Measurement=820.72)
Run 275: Total chi2=Run 1101.25 (Process=317: Total chi2=266.883, Measurement=834.37)
1069.88 (Process=264.967, Measurement=804.91)
Run 72: Total chi2=1289.28 (Process=327.697, Measurement=961.587)
Run 113: Total chi2=1185.96 (Process=308.558, Measurement=877.401)
Run 237: Total chi2=1215.36 (Process=350.5, Measurement=864.857)
Run 365: Total chi2=1084.16 (Process=273.502, Measurement=810.656)
Run 409: Total chi2=1282.34 (Process=343.505, Measurement=938.835)
Run 28: Total chi2=1050.28 (Process=278.567, Measurement=771.714)
Run 156: Total chi2=954.327 (Process=283.864, Measurement=670.464)
Run 448: Total chi2=1225.2 (Process=308.209, Measurement=916.986)
Run 410: Total chi2=1062.28 (Process=319.433, Measurement=742.849)
Run 276: Total chi2=1105.33 (Process=304.551, Measurement=800.783)
Run 318: Total chi2=1338.33 (Process=292.795, Measurement=1045.54)
Run 238: Total chi2=1134.44 (Process=295.753, Measurement=838.687)
Run 486: Total chi2=1101.57 (Process=287.062, Measurement=814.507)
Run 114: Total chi2=949.405 (Process=274.06, Measurement=675.345)
Run 73: Total chi2=1049.03 (Process=249.496, Measurement=799.533)
Run 29: Total chi2=1038.01 (Process=248.781, Measurement=789.231)
Run 197: Total chi2=1108.47 (Process=285.512, Measurement=822.957)
Run 366: Total chi2=1177.08 (Process=303.838, Measurement=873.243)
Run 157: Total chi2=1033.51 (Process=277.643, Measurement=755.872)
Run 449: Total chi2=962.481 (Process=251.499, Measurement=710.981)
Run 411: Total chi2=1133.57 (Process=317.333, Measurement=816.237)
Run 30: Total chi2=1076.1 (Process=266.888, Measurement=809.21)
Run 115: Total chi2=1096.66 (Process=322.76, Measurement=773.9)
Run 450: Total chi2=1177.96 (Process=295.298, Measurement=882.659)
Run 158: Total chi2=1183.06 (Process=302.195, Measurement=880.864)
Run 367: Total chi2=1071.8 (Process=288.047, Measurement=783.758)
Run 487: Total chi2=1112.41 (Process=294.15, Measurement=818.257)
Run 198: Total chi2=1211.52 (Process=311.567, Measurement=899.953)
Run 412: Total chi2=1079.56 (Process=275.962, Measurement=803.596)
Run 319: Total chi2=1080.27 (Process=289.321, Measurement=790.947)
Run 31: Total chi2=1084.66 (Process=268.274, Measurement=816.391)
Run 277: Total chi2=1130.45 (Process=320.909, Measurement=809.543)
Run 74: Total chi2=1118.59 (Process=296.314, Measurement=822.274)
Run 159: Total chi2=1153.24 (Process=294.602, Measurement=858.641)
Run 239: Total chi2=1172.94 (Process=271.704, Measurement=901.239)
Run 413: Total chi2=Run 451: Total chi2=1078.86 (Process=1192.14 (Process=298.172, Measurement=301.768, Measurement=780.69890.369))

Run 368: Total chi2=1308.37 (Process=339.77, Measurement=968.602)
Run 160: Total chi2=1174.42 (Process=282.076, Measurement=892.34)
Run 32: Total chi2=1275.87 (Process=347.166, Measurement=928.704)
Run 116: Total chi2=1159.16 (Process=295.988, Measurement=863.169)
Run 199: Total chi2=1272.91 (Process=299.959, Measurement=972.954)
Run 320: Total chi2=1035.84 (Process=301.536, Measurement=734.303)
Run 278: Total chi2=1121.06 (Process=267.258, Measurement=853.798)
Run 75: Total chi2=966.581 (Process=294.3, Measurement=672.281)
Run 414: Total chi2=987.55 (Process=239.937, Measurement=747.613)
Run 240: Total chi2=1073.29 (Process=300.191, Measurement=773.097)
Run 200: Total chi2=1106.47 (Process=301.66, Measurement=804.814)
Run 452: Total chi2=1140.52 (Process=284.732, Measurement=855.788)
Run 33: Total chi2=1131.31 (Process=301.809, Measurement=829.499)
Run 488: Total chi2=1169.89 (Process=308.625, Measurement=861.268)
Run 161: Total chi2=1059.56 (Process=283.593, Measurement=775.969)
Run 369: Total chi2=1131.35 (Process=284.47, Measurement=846.88)
Run 415: Total chi2=1091.93 (Process=292.903, Measurement=799.026)
Run 279: Total chi2=1130.23 (Process=321.028, Measurement=809.206)
Run 117: Total chi2=1207.53 (Process=355.843, Measurement=851.69)
Run 76: Total chi2=1046.57 (Process=275.317, Measurement=771.255)
Run 321: Total chi2=1102 (Process=293.128, Measurement=808.868)
Run 201: Total chi2=1001.05 (Process=292.949, Measurement=708.103)
Run 118: Total chi2=1133.28 (Process=282.126, Measurement=851.15)
Run 34: Total chi2=1038.17 (Process=257.033, Measurement=781.133)
Run 77: Total chi2=1105.83 (Process=307.808, Measurement=798.021)
Run 453: Total chi2=1252.92 (Process=309.929, Measurement=942.991)
Run 202: Total chi2=1355.89 (Process=311.071, Measurement=1044.82)
Run 322: Total chi2=1306.33 (Process=314.07, Measurement=992.256)
Run 241: Total chi2=1162.62 (Process=302.821, Measurement=859.796)
Run 280: Total chi2=1107.37 (Process=301.761, Measurement=805.61)
Run 370: Total chi2=1167.3 (Process=317.658, Measurement=849.645)
Run 162: Total chi2=1074.16 (Process=305.696, Measurement=768.46)
Run 489: Total chi2=1044.69 (Process=298.28, Measurement=746.407)
Run 119: Total chi2=1034 (Process=290.541, Measurement=743.463)
Run 416: Total chi2=1219.93 (Process=271.349, Measurement=948.582)
Run 203: Total chi2=1206.9 (Process=314.468, Measurement=892.436)
Run 242: Total chi2=1086.05 (Process=310.964, Measurement=775.087)
Run 78: Total chi2=1036.75 (Process=261.648, Measurement=775.104)
Run 323: Total chi2=970.528 (Process=281.495, Measurement=689.033)
Run 454: Total chi2=1032.76 (Process=258.567, Measurement=774.193)
Run 243: Total chi2=1095.92 (Process=306.932, Measurement=788.992)
Run 204: Total chi2=992.328 (Process=301.095, Measurement=691.233)
Run 371: Total chi2=1106.36 (Process=247.887, Measurement=858.47)
Run 35: Total chi2=998.751 (Process=279.894, Measurement=718.857)
Run 79: Total chi2=1098.85 (Process=282.344, Measurement=816.509)
Run 417: Total chi2=1030.82 (Process=273.82, Measurement=757.003)
Run 281: Total chi2=Run 372: Total chi2=1101.87 (Process=274.284, Measurement=827.582)
1199.73 (Process=301.143, Measurement=898.582)
Run 455: Total chi2=1152.15 (Process=314.311, Measurement=837.838)
Run 120: Total chi2=1087.95 (Process=307.576, Measurement=780.37)
Run 244: Total chi2=1084.75 (Process=321.718, Measurement=763.028)
Run 205: Total chi2=1070.36 (Process=287.929, Measurement=782.428)
Run 163: Total chi2=1188.17 (Process=307.426, Measurement=880.741)
Run 324: Total chi2=1001.84 (Process=294.602, Measurement=707.238)
Run 490: Total chi2=1282.74 (Process=356.908, Measurement=925.831)
Run 36: Total chi2=1074.77 (Process=279.007, Measurement=795.76)
Run 121: Total chi2=1210.04 (Process=338.399, Measurement=871.637)
Run 373: Total chi2=1132.78 (Process=303.308, Measurement=829.469)
Run 80: Total chi2=1117.82 (Process=324.755, Measurement=793.061)
Run 282: Total chi2=1135.24 (Process=298.637, Measurement=836.605)
Run 456: Total chi2=1194.44 (Process=305.385, Measurement=889.052)
Run 245: Total chi2=1053.68 (Process=298.814, Measurement=754.864)
Run 325: Total chi2=1107.74 (Process=303.521, Measurement=804.222)
Run 164: Total chi2=1191.37 (Process=289.253, Measurement=902.115)
Run 206: Total chi2=1109.38 (Process=262.781, Measurement=846.6)
Run 374: Total chi2=1178.88 (Process=289.93, Measurement=888.95)
Run 81: Total chi2=1071 (Process=325.597, Measurement=745.402)
Run 165: Total chi2=977.909 (Process=269.982, Measurement=707.927)
Run 122: Total chi2=1138.13 (Process=374.059, Measurement=764.069)
Run 283: Total chi2=1129.81 (Process=265.364, Measurement=864.45)Run 
37: Total chi2=1266.13 (Process=320.055, Measurement=946.075)
Run 457: Total chi2=1267.65 (Process=323.852, Measurement=943.798)
Run 207: Total chi2=1114.82 (Process=277.758, Measurement=837.06)
Run 326: Total chi2=1289.25 (Process=316.748, Measurement=972.498)
Run 123: Total chi2=1000.34 (Process=272.623, Measurement=727.716)
Run 82: Total chi2=1064.99 (Process=294.129, Measurement=770.86)
Run 246: Total chi2=1055.63 (Process=259.817, Measurement=795.813)
Run 491: Total chi2=1161.37 (Process=288.658, Measurement=872.713)
Run 375: Total chi2=1151.53 (Process=289.669, Measurement=861.865)
Run 458: Total chi2=1096.16 (Process=290.999, Measurement=805.166)
Run 38: Total chi2=1057.72 (Process=269.083, Measurement=788.641)
Run 166: Total chi2=998.963 (Process=269.766, Measurement=729.197)
Run 83: Total chi2=1101.31 (Process=305.994, Measurement=795.319)
Run 247: Total chi2=1047.95 (Process=275.096, Measurement=772.858)
Run 284: Total chi2=1201.94 (Process=337.799, Measurement=864.145)
Run 327: Total chi2=1125.9 (Process=284.414, Measurement=841.489)
Run 492: Total chi2=1114.86 (Process=329.051, Measurement=785.807)
Run 208: Total chi2=1139.5 (Process=308.867, Measurement=830.632)
Run 376: Total chi2=1149.07 (Process=287.659, Measurement=861.413)
Run 124: Total chi2=1269.92 (Process=312.55, Measurement=957.374)
Run 167: Total chi2=1189.88 (Process=299.706, Measurement=890.176)
Run 39: Total chi2=1237.97 (Process=305.728, Measurement=932.239)
Run 248: Total chi2=1116.25 (Process=298.16, Measurement=818.089)
Run 493: Total chi2=1006.75 (Process=266.095, Measurement=740.658)
Run 125: Total chi2=1172.7 (Process=299.051, Measurement=873.646)
Run 328: Total chi2=983.179 (Process=296.183, Measurement=686.996)
Run 285: Total chi2=1203.01 (Process=283.024, Measurement=919.987)
Run 209: Total chi2=1237.69 (Process=301.742, Measurement=935.949)
Run 40: Total chi2=1063.14 (Process=280.748, Measurement=782.395)
Run 286: Total chi2=1204.2 (Process=322.871, Measurement=881.33)
Run 249: Total chi2=1129.25 (Process=298.974, Measurement=830.274)
Run 494: Total chi2=1000.02 (Process=258.391, Measurement=741.634)
Run 329: Total chi2=1311.19 (Process=341.605, Measurement=969.581)
Run 287: Total chi2=1080.63 (Process=294.914, Measurement=785.72)
Run 41: Total chi2=1186.28 (Process=369.227, Measurement=817.05)
Run 495: Total chi2=1278.3 (Process=363.119, Measurement=915.178)
Run 250: Total chi2=1236.27 (Process=306.061, Measurement=930.206)
Run 288: Total chi2=1102.98 (Process=272.58, Measurement=830.395)
Run 330: Total chi2=1033.53 (Process=296.332, Measurement=737.2)
Run 496: Total chi2=993.147 (Process=281.626, Measurement=711.521)
Run 251: Total chi2=1090.47 (Process=281.826, Measurement=808.649)
Run 289: Total chi2=1195.86 (Process=287.857, Measurement=908.001)
Run 497: Total chi2=1159.39 (Process=322.088, Measurement=837.3)
Run 331: Total chi2=1188.07 (Process=320.417, Measurement=867.65)
Run 290: Total chi2=1206.11 (Process=284.397, Measurement=921.715)
Run 498: Total chi2=1225.46 (Process=316.906, Measurement=908.551)
Run 332: Total chi2=1075.9 (Process=297.557, Measurement=778.341)
Run 291: Total chi2=1112.82 (Process=278.147, Measurement=834.676)
Run 499: Total chi2=1086.03 (Process=270.572, Measurement=815.455)
Run 333: Total chi2=1181.16 (Process=315.341, Measurement=865.817)
Run 292: Total chi2=1033.19 (Process=296.608, Measurement=736.58)
Run 334: Total chi2=1124.5 (Process=294.646, Measurement=829.851)
Run 293: Total chi2=1204.72 (Process=319.392, Measurement=885.329)
Run 335: Total chi2=1143.63 (Process=323.283, Measurement=820.342)
Using Khosoussi Proposition 4 (NIS consistency): DOF = T × nz = 200 × 2 = 396
  Measurement-based init + optimization + measurement-only chi2 test
  (Graph dimensions: dimZ=1196, dimX=800)
[BayesOpt Nonlinear] Parameters: V0=0.872853, R=0.495559, Metric=2.79992, Time=2084ms
[BayesOpt Nonlinear] Iteration: 3
Theoretical DOF: T*nx = 800, T*nz = 400
Using Khosoussi Proposition 4 (NIS consistency): DOF = T × nz = 200 × 2 = 396
  Measurement-based init + optimization + measurement-only chi2 test
  (Graph dimensions: dimZ=1196, dimX=800)
[BayesOpt Nonlinear] Parameters: V0=0.162106, R=3.28324, Metric=0.607489, Time=1804ms
[BayesOpt Nonlinear] Iteration: 4
[BayesOpt Nonlinear] Parameters: V0=0.353042, R=2.76074, Metric=0.939675, Time=1854ms
[BayesOpt Nonlinear] Iteration: 5
[BayesOpt Nonlinear] Parameters: V0=0.430755, R=3.08705, Metric=1.33226, Time=1921ms
[BayesOpt Nonlinear] Iteration: 6
[BayesOpt Nonlinear] Parameters: V0=1.27968, R=0.786871, Metric=1.46371, Time=2112ms
[BayesOpt Nonlinear] Iteration: 7
[BayesOpt Nonlinear] Parameters: V0=0.497199, R=1.70302, Metric=0.195265, Time=1920ms
[BayesOpt Nonlinear] Iteration: 8
[BayesOpt Nonlinear] Parameters: V0=0.63269, R=1.87822, Metric=0.326425, Time=2040ms
[BayesOpt Nonlinear] Iteration: 9
[BayesOpt Nonlinear] Parameters: V0=1.40318, R=3.04769, Metric=1.93029, Time=1961ms
[BayesOpt Nonlinear] Iteration: 10
[BayesOpt Nonlinear] Parameters: V0=1.57101, R=2.84177, Metric=1.80874, Time=1959ms
[BayesOpt Nonlinear] Iteration: 11
[BayesOpt Nonlinear] Parameters: V0=0.69707, R=2.62992, Metric=1.21609, Time=1871ms
[BayesOpt Nonlinear] Iteration: 12
[BayesOpt Nonlinear] Parameters: V0=1.51563, R=0.133832, Metric=4.7556, Time=2129ms
[BayesOpt Nonlinear] Iteration: 13
[BayesOpt Nonlinear] Parameters: V0=1.77174, R=3.21788, Metric=2.17966, Time=2096ms
[BayesOpt Nonlinear] Iteration: 14
[BayesOpt Nonlinear] Parameters: V0=1.53265, R=1.81545, Metric=0.674708, Time=1986ms
[BayesOpt Nonlinear] Iteration: 15
[BayesOpt Nonlinear] Parameters: V0=0.99076, R=0.3991, Metric=3.20964, Time=2114ms
[BayesOpt Nonlinear] Iteration: 16
[BayesOpt Nonlinear] Parameters: V0=1.87025, R=3.26701, Metric=2.24402, Time=2102ms
[BayesOpt Nonlinear] Iteration: 17
[BayesOpt Nonlinear] Parameters: V0=1.749, R=2.99726, Metric=1.9948, Time=2031ms
[BayesOpt Nonlinear] Iteration: 18
[BayesOpt Nonlinear] Parameters: V0=1.66194, R=1.77386, Metric=0.659347, Time=2009ms
[BayesOpt Nonlinear] Iteration: 19
[BayesOpt Nonlinear] Parameters: V0=0.385684, R=2.17368, Metric=0.426591, Time=1876ms
[BayesOpt Nonlinear] Iteration: 20
[BayesOpt Nonlinear] Parameters: V0=1.79935, R=1.44815, Metric=0.261112, Time=2007ms
[BayesOpt Nonlinear] Iteration: 21
[BayesOpt Nonlinear] Parameters: V0=0.106764, R=2.2569, Metric=0.567658, Time=1864ms
[BayesOpt Nonlinear] Iteration: 22
[BayesOpt Nonlinear] Parameters: V0=0.244832, R=0.171437, Metric=6.11493, Time=2167ms
[BayesOpt Nonlinear] Iteration: 23
[BayesOpt Nonlinear] Parameters: V0=0.672958, R=2.40545, Metric=0.976001, Time=1819ms
[BayesOpt Nonlinear] Iteration: 24
[BayesOpt Nonlinear] Parameters: V0=1.38036, R=1.48115, Metric=0.25847, Time=2021ms
[BayesOpt Nonlinear] Iteration: 25
[BayesOpt Nonlinear] Parameters: V0=0.125901, R=2.36662, Metric=0.289157, Time=1875ms
[BayesOpt Nonlinear] Iteration: 26
[BayesOpt Nonlinear] Parameters: V0=1.6048, R=2.90145, Metric=1.87133, Time=1981ms
[BayesOpt Nonlinear] Iteration: 27
[BayesOpt Nonlinear] Parameters: V0=0.0707739, R=1.27962, Metric=2.09072, Time=1753ms
[BayesOpt Nonlinear] Iteration: 28
[BayesOpt Nonlinear] Parameters: V0=1.98361, R=3.16142, Metric=2.19019, Time=2143ms
[BayesOpt Nonlinear] Iteration: 29
[BayesOpt Nonlinear] Parameters: V0=1.24253, R=3.5585, Metric=2.2611, Time=1799ms
[BayesOpt Nonlinear] Iteration: 30
[BayesOpt Nonlinear] Parameters: V0=1.03299, R=0.728995, Metric=1.77725, Time=2102ms
[BayesOpt Nonlinear] Iteration: 31
[BayesOpt Nonlinear] Parameters: V0=1.30977, R=0.299844, Metric=3.57744, Time=2124ms
[BayesOpt Nonlinear] Iteration: 32
[BayesOpt Nonlinear] Parameters: V0=0.613331, R=1.94713, Metric=0.40136, Time=1835ms
[BayesOpt Nonlinear] Iteration: 33
[BayesOpt Nonlinear] Parameters: V0=1.1102, R=2.81386, Metric=1.61625, Time=1922ms
[BayesOpt Nonlinear] Iteration: 34
[BayesOpt Nonlinear] Parameters: V0=1.46394, R=0.0626814, Metric=5.55313, Time=2130ms
[BayesOpt Nonlinear] Iteration: 35
[BayesOpt Nonlinear] Parameters: V0=1.0801, R=2.00327, Metric=0.747681, Time=1972ms
[BayesOpt Nonlinear] Iteration: 36
[BayesOpt Nonlinear] Parameters: V0=1.91585, R=1.56998, Metric=0.437279, Time=2019ms
[BayesOpt Nonlinear] Iteration: 37
[BayesOpt Nonlinear] Parameters: V0=0.565288, R=1.66093, Metric=0.20791, Time=1969ms
[BayesOpt Nonlinear] Iteration: 38
[BayesOpt Nonlinear] Parameters: V0=0.706551, R=0.682936, Metric=2.15132, Time=2058ms
[BayesOpt Nonlinear] Iteration: 39
[BayesOpt Nonlinear] Parameters: V0=0.846982, R=2.14934, Metric=0.807469, Time=1947ms
[BayesOpt Nonlinear] Iteration: 40
[BayesOpt Nonlinear] Parameters: V0=1.28129, R=1.96193, Metric=0.778573, Time=2013ms
[BayesOpt Nonlinear] Iteration: 41
[BayesOpt Nonlinear] Parameters: V0=1.23237, R=2.30391, Metric=1.16332, Time=1899ms
[BayesOpt Nonlinear] Iteration: 42
[BayesOpt Nonlinear] Parameters: V0=0.309907, R=1.72167, Metric=0.264472, Time=1814ms
[BayesOpt Nonlinear] Iteration: 43
[BayesOpt Nonlinear] Parameters: V0=0.784559, R=1.43155, Metric=0.324728, Time=1917ms
[BayesOpt Nonlinear] Iteration: 44
[BayesOpt Nonlinear] Parameters: V0=0.0396227, R=0.558572, Metric=4.32386, Time=1815ms
[BayesOpt Nonlinear] Iteration: 45
[BayesOpt Nonlinear] Parameters: V0=0.419384, R=2.33622, Metric=0.649678, Time=1848ms
[BayesOpt Nonlinear] Iteration: 46
[BayesOpt Nonlinear] Parameters: V0=0.453352, R=0.919353, Metric=1.63203, Time=2058ms
[BayesOpt Nonlinear] Iteration: 47
[BayesOpt Nonlinear] Parameters: V0=0.478521, R=0.4482, Metric=3.39773, Time=1961ms
[BayesOpt Nonlinear] Iteration: 48
[BayesOpt Nonlinear] Parameters: V0=1.49443, R=3.13747, Metric=2.03376, Time=1920ms
[BayesOpt Nonlinear] Iteration: 49
[BayesOpt Nonlinear] Parameters: V0=1.9316, R=1.18472, Metric=0.439362, Time=2267ms
[BayesOpt Nonlinear] Iteration: 50
[BayesOpt Nonlinear] Parameters: V0=0.657743, R=0.0983678, Metric=6.44448, Time=2201ms
[BayesOpt Nonlinear] Iteration: 51
[BayesOpt Nonlinear] Parameters: V0=1.59404, R=2.21481, Metric=1.19044, Time=1989ms
[BayesOpt Nonlinear] Iteration: 52
[BayesOpt Nonlinear] Parameters: V0=1.12313, R=1.61602, Metric=0.227442, Time=2109ms
[BayesOpt Nonlinear] Iteration: 53
[BayesOpt Nonlinear] Parameters: V0=1.85716, R=0.274057, Metric=3.3538, Time=2219ms
[BayesOpt Nonlinear] Iteration: 54
[BayesOpt Nonlinear] Parameters: V0=0.839288, R=2.0993, Metric=0.743794, Time=2045ms
[BayesOpt Nonlinear] Iteration: 55
[BayesOpt Nonlinear] Parameters: V0=1.64513, R=3.39327, Metric=2.27742, Time=1922ms
[BayesOpt Nonlinear] Iteration: 56
[BayesOpt Nonlinear] Parameters: V0=0.327032, R=0.00294626, Metric=9.33834, Time=2148ms
[BayesOpt Nonlinear] Iteration: 57
[BayesOpt Nonlinear] Parameters: V0=0.0991384, R=3.35339, Metric=0.320736, Time=1895ms
[BayesOpt Nonlinear] Iteration: 58
[BayesOpt Nonlinear] Parameters: V0=0.206349, R=0.982151, Metric=1.86163, Time=1867ms
[BayesOpt Nonlinear] Iteration: 59
[BayesOpt Nonlinear] Parameters: V0=0.774203, R=0.879253, Metric=1.47861, Time=1966ms
[BayesOpt Nonlinear] Iteration: 60
[BayesOpt Nonlinear] Parameters: V0=0.509032, R=3.62839, Metric=1.82045, Time=1819ms
[BayesOpt Nonlinear] Iteration: 61
[BayesOpt Nonlinear] Parameters: V0=0.74636, R=0.942687, Metric=1.32414, Time=1984ms
[BayesOpt Nonlinear] Iteration: 62
[BayesOpt Nonlinear] Parameters: V0=0.962784, R=0.422104, Metric=3.10408, Time=2090ms
[BayesOpt Nonlinear] Iteration: 63
[BayesOpt Nonlinear] Parameters: V0=1.36046, R=2.49642, Metric=1.41309, Time=2051ms
[BayesOpt Nonlinear] Iteration: 64
[BayesOpt Nonlinear] Parameters: V0=0.237509, R=2.54176, Metric=0.461679, Time=1897ms
[BayesOpt Nonlinear] Iteration: 65
[BayesOpt Nonlinear] Parameters: V0=1.0133, R=2.67569, Metric=1.44532, Time=1908ms
[BayesOpt Nonlinear] Iteration: 66
[BayesOpt Nonlinear] Parameters: V0=0.368261, R=0.83729, Metric=1.96767, Time=2016ms
[BayesOpt Nonlinear] Iteration: 67
[BayesOpt Nonlinear] Parameters: V0=0.881079, R=0.654222, Metric=2.13198, Time=2143ms
[BayesOpt Nonlinear] Iteration: 68
[BayesOpt Nonlinear] Parameters: V0=1.89914, R=1.35817, Metric=0.316008, Time=2125ms
[BayesOpt Nonlinear] Iteration: 69
[BayesOpt Nonlinear] Parameters: V0=0.916844, R=1.29743, Metric=0.42302, Time=1973ms
[BayesOpt Nonlinear] Iteration: 70
[BayesOpt Nonlinear] Parameters: V0=1.70651, R=3.70697, Metric=2.51772, Time=2015ms
[BayesOpt Nonlinear] Iteration: 71
[BayesOpt Nonlinear] Parameters: V0=1.55364, R=1.08728, Metric=0.572943, Time=2148ms
[BayesOpt Nonlinear] Iteration: 72
[BayesOpt Nonlinear] Parameters: V0=1.69844, R=3.5833, Metric=2.43, Time=1986ms
[BayesOpt Nonlinear] Iteration: 73
[BayesOpt Nonlinear] Parameters: V0=0.542548, R=3.6662, Metric=1.88544, Time=1889ms
[BayesOpt Nonlinear] Iteration: 74
[BayesOpt Nonlinear] Parameters: V0=0.93461, R=2.56062, Metric=1.29549, Time=1995ms
[BayesOpt Nonlinear] Iteration: 75
[BayesOpt Nonlinear] Parameters: V0=0.592761, R=3.9188, Metric=2.09897, Time=1931ms
[BayesOpt Nonlinear] Iteration: 76
[BayesOpt Nonlinear] Parameters: V0=1.0894, R=3.43264, Metric=2.106, Time=1882ms
[BayesOpt Nonlinear] Iteration: 77
[BayesOpt Nonlinear] Parameters: V0=1.16588, R=3.5033, Metric=2.1906, Time=1893ms
[BayesOpt Nonlinear] Iteration: 78
[BayesOpt Nonlinear] Parameters: V0=0.27142, R=1.01953, Metric=1.62448, Time=2024ms
[BayesOpt Nonlinear] Iteration: 79
[BayesOpt Nonlinear] Parameters: V0=1.63752, R=3.8342, Metric=2.58278, Time=1993ms
[BayesOpt Nonlinear] Iteration: 80
[BayesOpt Nonlinear] Parameters: V0=1.21768, R=2.95319, Metric=1.78257, Time=1953ms
[BayesOpt Nonlinear] Iteration: 81
[BayesOpt Nonlinear] Parameters: V0=0.0116439, R=1.88409, Metric=4.60979, Time=1713ms
[BayesOpt Nonlinear] Iteration: 82
[BayesOpt Nonlinear] Parameters: V0=0.198261, R=1.20185, Metric=1.394, Time=1910ms
[BayesOpt Nonlinear] Iteration: 83
[BayesOpt Nonlinear] Parameters: V0=0.043379, R=1.375, Metric=2.59229, Time=1768ms
[BayesOpt Nonlinear] Iteration: 84
[BayesOpt Nonlinear] Parameters: V0=1.04513, R=2.70536, Metric=1.48807, Time=1891ms
[BayesOpt Nonlinear] Iteration: 85
[BayesOpt Nonlinear] Parameters: V0=1.72905, R=3.76252, Metric=2.5615, Time=2025ms
[BayesOpt Nonlinear] Iteration: 86
[BayesOpt Nonlinear] Parameters: V0=0.945261, R=3.03629, Metric=1.72837, Time=1780ms
[BayesOpt Nonlinear] Iteration: 87
[BayesOpt Nonlinear] Parameters: V0=1.97498, R=1.5579, Metric=0.435858, Time=2098ms
[BayesOpt Nonlinear] Iteration: 88
[BayesOpt Nonlinear] Parameters: V0=0.148272, R=3.93655, Metric=0.811523, Time=1702ms
[BayesOpt Nonlinear] Iteration: 89
[BayesOpt Nonlinear] Parameters: V0=0.297312, R=0.567268, Metric=3.05112, Time=1969ms
[BayesOpt Nonlinear] Iteration: 90
[BayesOpt Nonlinear] Parameters: V0=1.32205, R=2.44357, Metric=1.3454, Time=1985ms
[BayesOpt Nonlinear] Iteration: 91
[BayesOpt Nonlinear] Parameters: V0=1.1892, R=1.0456, Metric=0.821637, Time=2037ms
[BayesOpt Nonlinear] Iteration: 92
[BayesOpt Nonlinear] Parameters: V0=1.82529, R=1.13092, Metric=0.486764, Time=2280ms
[BayesOpt Nonlinear] Iteration: 93
[BayesOpt Nonlinear] Parameters: V0=1.45294, R=3.72689, Metric=2.4535, Time=2017ms
[BayesOpt Nonlinear] Iteration: 94
[BayesOpt Nonlinear] Parameters: V0=0.734718, R=2.72845, Metric=1.33454, Time=1868ms
[BayesOpt Nonlinear] Iteration: 95
[BayesOpt Nonlinear] Parameters: V0=1.81118, R=0.326154, Metric=3.06987, Time=2235ms
[BayesOpt Nonlinear] Iteration: 96
